filename, language, Markdown, JSON, JavaScript, HTML, TypeScript, SCSS, CSS, comment, blank, total
CHANGELOG.md, Markdown, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
ISSUE_TEMPLATE.md, Markdown, 0, 0, 0, 0, 0, 0, 0, 12, 2, 14
LICENSE.md, Markdown, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
README.md, Markdown, 186, 0, 0, 0, 0, 0, 0, 0, 51, 237
angular.json, JSON, 0, 134, 0, 0, 0, 0, 0, 0, 0, 134
documentation/css/bootstrap.min.css, CSS, 0, 0, 0, 0, 0, 0, 1, 5, 1, 7
documentation/css/demo.css, CSS, 0, 0, 0, 0, 0, 0, 1047, 20, 69, 1136
documentation/css/nucleo-icons.css, CSS, 0, 0, 0, 0, 0, 0, 435, 29, 103, 567
documentation/css/paper-kit.css, CSS, 0, 0, 0, 0, 0, 0, 5371, 30, 609, 6010
documentation/js/bootstrap.min.js, JavaScript, 0, 0, 2, 0, 0, 0, 0, 5, 0, 7
documentation/js/jquery-3.2.1.js, JavaScript, 0, 0, 6649, 0, 0, 0, 0, 1596, 1545, 9790
documentation/js/jquery-ui-1.12.1.custom.min.js, JavaScript, 0, 0, 2, 0, 0, 0, 0, 4, 2, 8
documentation/js/paper-kit.js, JavaScript, 0, 0, 206, 0, 0, 0, 0, 28, 41, 275
documentation/js/tether.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
documentation/tutorial-components.html, HTML, 0, 0, 0, 78, 0, 0, 0, 7, 10, 95
e2e/app.e2e-spec.ts, TypeScript, 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
e2e/app.po.ts, TypeScript, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
e2e/tsconfig.e2e.json, JSON, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
karma.conf.js, JavaScript, 0, 0, 27, 0, 0, 0, 0, 2, 3, 32
package.json, JSON, 0, 62, 0, 0, 0, 0, 0, 0, 1, 63
protractor.conf.js, JavaScript, 0, 0, 24, 0, 0, 0, 0, 2, 3, 29
src/app/app.component.html, HTML, 0, 0, 0, 2, 0, 0, 0, 1, 1, 4
src/app/app.component.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
src/app/app.component.ts, TypeScript, 0, 0, 0, 0, 75, 0, 0, 3, 6, 84
src/app/app.module.ts, TypeScript, 0, 0, 0, 0, 49, 0, 0, 0, 6, 55
src/app/app.routing.ts, TypeScript, 0, 0, 0, 0, 63, 0, 0, 1, 4, 68
src/app/auth-guard.service.ts, TypeScript, 0, 0, 0, 0, 23, 0, 0, 18, 2, 43
src/app/auth/auth.component.html, HTML, 0, 0, 0, 82, 0, 0, 0, 0, 4, 86
src/app/auth/auth.component.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
src/app/auth/auth.component.ts, TypeScript, 0, 0, 0, 0, 35, 0, 0, 1, 7, 43
src/app/auth/auth.service.ts, TypeScript, 0, 0, 0, 0, 34, 0, 0, 0, 5, 39
src/app/check-serial/check-serial.component.html, HTML, 0, 0, 0, 52, 0, 0, 0, 0, 3, 55
src/app/check-serial/check-serial.component.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
src/app/check-serial/check-serial.component.spec.ts, TypeScript, 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
src/app/check-serial/check-serial.component.ts, TypeScript, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
src/app/components/basicelements/basicelements.component.html, HTML, 0, 0, 0, 301, 0, 0, 0, 0, 1, 302
src/app/components/basicelements/basicelements.component.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
src/app/components/basicelements/basicelements.component.spec.ts, TypeScript, 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
src/app/components/basicelements/basicelements.component.ts, TypeScript, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
src/app/components/components.component.html, HTML, 0, 0, 0, 243, 0, 0, 0, 13, 6, 262
src/app/components/components.component.ts, TypeScript, 0, 0, 0, 0, 47, 0, 0, 2, 10, 59
src/app/components/components.module.ts, TypeScript, 0, 0, 0, 0, 31, 0, 0, 0, 4, 35
src/app/components/navigation/navigation.component.html, HTML, 0, 0, 0, 226, 0, 0, 0, 0, 1, 227
src/app/components/navigation/navigation.component.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
src/app/components/navigation/navigation.component.spec.ts, TypeScript, 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
src/app/components/navigation/navigation.component.ts, TypeScript, 0, 0, 0, 0, 10, 0, 0, 0, 5, 15
src/app/components/nucleoicons/nucleoicons.component.html, HTML, 0, 0, 0, 410, 0, 0, 0, 1, 101, 512
src/app/components/nucleoicons/nucleoicons.component.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
src/app/components/nucleoicons/nucleoicons.component.spec.ts, TypeScript, 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
src/app/components/nucleoicons/nucleoicons.component.ts, TypeScript, 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
src/app/components/typography/typography.component.html, HTML, 0, 0, 0, 114, 0, 0, 0, 0, 1, 115
