Date : 2019-11-20 18:03:23
Directory : /Users/dfarinha/Documents/Blockchain final/Blockchain front/blockchain-fe
Total : 141 files,  24913 codes, 2239 comments, 3788 blanks, all 30940 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |          6 |      8,324 |        155 |      1,107 |      9,586 |
| JavaScript |          7 |      6,911 |      1,637 |      1,594 |     10,142 |
| SCSS       |         56 |      5,208 |        130 |        606 |      5,944 |
| HTML       |         21 |      2,506 |        186 |        168 |      2,860 |
| TypeScript |         40 |      1,348 |        116 |        246 |      1,710 |
| JSON       |          7 |        395 |          3 |          4 |        402 |
| Markdown   |          4 |        221 |         12 |         63 |        296 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                   |        141 |     24,913 |      2,239 |      3,788 |     30,940 |
| documentation                                                       |         10 |     13,792 |      1,724 |      2,380 |     17,896 |
| src                                                                 |        118 |     10,466 |        499 |      1,329 |     12,294 |
| documentation/js                                                    |          5 |      6,860 |      1,633 |      1,588 |     10,081 |
| documentation/css                                                   |          4 |      6,854 |         84 |        782 |      7,720 |
| src/assets                                                          |         39 |      6,599 |        182 |        902 |      7,683 |
| src/assets/sass                                                     |         37 |      5,129 |        111 |        577 |      5,817 |
| src/assets/sass/paper-kit                                           |         36 |      5,101 |         90 |        570 |      5,761 |
| src/app                                                             |         69 |      3,761 |        235 |        393 |      4,389 |
| src/app/components                                                  |         19 |      1,505 |         16 |        171 |      1,692 |
| src/assets/css                                                      |          2 |      1,470 |         71 |        325 |      1,866 |
| src/app/success                                                     |         28 |      1,416 |         97 |        128 |      1,641 |
| src/app/success/partners                                            |          9 |        602 |         13 |         37 |        652 |
| src/app/components/nucleoicons                                      |          4 |        449 |          1 |        113 |        563 |
| src/app/components/basicelements                                    |          4 |        335 |          0 |         12 |        347 |
| src/assets/sass/paper-kit/mixins                                    |          8 |        327 |          6 |         45 |        378 |
| src/app/success/partners/loggedprofile                              |          3 |        283 |          2 |         18 |        303 |
| src/app/components/navigation                                       |          4 |        256 |          0 |         13 |        269 |
| src/app/shared/navbar                                               |          4 |        196 |         98 |         23 |        317 |
| src/app/shared                                                      |          4 |        196 |         98 |         23 |        317 |
| src/app/success/chains                                              |          6 |        194 |         41 |         24 |        259 |
| src/app/register                                                    |          4 |        178 |          0 |         19 |        197 |
| src/app/success/inventory                                           |          3 |        172 |          5 |         13 |        190 |
| src/app/success/partners/profiles                                   |          3 |        170 |          7 |          6 |        183 |
| src/app/success/inventories                                         |          3 |        161 |          2 |         16 |        179 |
| src/app/auth                                                        |          4 |        151 |          1 |         17 |        169 |
| src/app/success/product                                             |          3 |        148 |         36 |         24 |        208 |
| src/app/components/typography                                       |          4 |        144 |          0 |         13 |        157 |
| src/assets/sass/paper-kit/plugins                                   |          1 |        117 |          0 |          3 |        120 |
| src/app/check-serial                                                |          4 |        103 |          0 |         15 |        118 |
| src/app/success/chains/blocks                                       |          3 |         92 |         38 |          9 |        139 |
| e2e                                                                 |          3 |         32 |          0 |          8 |         40 |
| src/environments                                                    |          2 |          6 |          4 |          3 |         13 |
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                            | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
| CHANGELOG.md                                                        | Markdown   |         18 |          0 |          5 |         23 |
| ISSUE_TEMPLATE.md                                                   | Markdown   |          0 |         12 |          2 |         14 |
| LICENSE.md                                                          | Markdown   |         17 |          0 |          5 |         22 |
| README.md                                                           | Markdown   |        186 |          0 |         51 |        237 |
| angular.json                                                        | JSON       |        134 |          0 |          0 |        134 |
| documentation/css/bootstrap.min.css                                 | CSS        |          1 |          5 |          1 |          7 |
| documentation/css/demo.css                                          | CSS        |      1,047 |         20 |         69 |      1,136 |
| documentation/css/nucleo-icons.css                                  | CSS        |        435 |         29 |        103 |        567 |
| documentation/css/paper-kit.css                                     | CSS        |      5,371 |         30 |        609 |      6,010 |
| documentation/js/bootstrap.min.js                                   | JavaScript |          2 |          5 |          0 |          7 |
| documentation/js/jquery-3.2.1.js                                    | JavaScript |      6,649 |      1,596 |      1,545 |      9,790 |
| documentation/js/jquery-ui-1.12.1.custom.min.js                     | JavaScript |          2 |          4 |          2 |          8 |
| documentation/js/paper-kit.js                                       | JavaScript |        206 |         28 |         41 |        275 |
| documentation/js/tether.min.js                                      | JavaScript |          1 |          0 |          0 |          1 |
| documentation/tutorial-components.html                              | HTML       |         78 |          7 |         10 |         95 |
| e2e/app.e2e-spec.ts                                                 | TypeScript |         11 |          0 |          4 |         15 |
| e2e/app.po.ts                                                       | TypeScript |          9 |          0 |          3 |         12 |
| e2e/tsconfig.e2e.json                                               | JSON       |         12 |          0 |          1 |         13 |
| karma.conf.js                                                       | JavaScript |         27 |          2 |          3 |         32 |
| package.json                                                        | JSON       |         62 |          0 |          1 |         63 |
| protractor.conf.js                                                  | JavaScript |         24 |          2 |          3 |         29 |
| src/app/app.component.html                                          | HTML       |          2 |          1 |          1 |          4 |
| src/app/app.component.scss                                          | SCSS       |          0 |          0 |          1 |          1 |
| src/app/app.component.ts                                            | TypeScript |         75 |          3 |          6 |         84 |
| src/app/app.module.ts                                               | TypeScript |         49 |          0 |          6 |         55 |
| src/app/app.routing.ts                                              | TypeScript |         63 |          1 |          4 |         68 |
| src/app/auth-guard.service.ts                                       | TypeScript |         23 |         18 |          2 |         43 |
| src/app/auth/auth.component.html                                    | HTML       |         82 |          0 |          4 |         86 |
| src/app/auth/auth.component.scss                                    | SCSS       |          0 |          0 |          1 |          1 |
| src/app/auth/auth.component.ts                                      | TypeScript |         35 |          1 |          7 |         43 |
| src/app/auth/auth.service.ts                                        | TypeScript |         34 |          0 |          5 |         39 |
| src/app/check-serial/check-serial.component.html                    | HTML       |         52 |          0 |          3 |         55 |
| src/app/check-serial/check-serial.component.scss                    | SCSS       |          0 |          0 |          1 |          1 |
| src/app/check-serial/check-serial.component.spec.ts                 | TypeScript |         20 |          0 |          6 |         26 |
| src/app/check-serial/check-serial.component.ts                      | TypeScript |         31 |          0 |          5 |         36 |
| src/app/components/basicelements/basicelements.component.html       | HTML       |        301 |          0 |          1 |        302 |
| src/app/components/basicelements/basicelements.component.scss       | SCSS       |          0 |          0 |          1 |          1 |
